Image name,IoU_light_unet_synth,Image name,IoU_unet_synth,Image name,IoU_light_unet_real,Image name,IoU_unet_real
001_,0.8983050847457628,001_,0.9243697478991597,001_,0.8375634517766497,001_,0.8929440389294404
002_,0.7978723404255319,002_,0.8670212765957447,002_,0.9144385026737968,002_,0.8957816377171216
003_,0.9315068493150684,003_,0.9041095890410958,003_,0.8293333333333334,003_,0.8358585858585859
004_,0.8611111111111112,004_,0.8888888888888888,004_,0.9017543859649123,004_,0.8823529411764706
005_,0.8837209302325582,005_,0.896551724137931,005_,0.9133333333333333,005_,0.9155844155844156
006_,0.9024390243902439,006_,0.9112903225806451,006_,0.8918128654970761,006_,0.8337730870712401
007_,0.8918918918918919,007_,0.9662162162162162,007_,0.9071618037135278,007_,0.9037974683544304
008_,0.8962264150943396,008_,0.9056603773584906,008_,0.8149100257069408,008_,0.8830845771144279
009_,0.8671328671328671,009_,0.8958333333333334,009_,0.7613293051359517,009_,0.7380352644836272
010_,0.9368421052631579,010_,0.9157894736842105,010_,0.9482758620689655,010_,0.9036144578313253
011_,0.8653846153846154,011_,0.9326923076923077,011_,0.9077669902912622,011_,0.9300699300699301
012_,0.7542372881355932,012_,0.8326359832635983,012_,0.889344262295082,012_,0.86328125
013_,0.8493150684931506,013_,0.9,013_,0.8894230769230769,013_,0.9074074074074074
014_,0.8925619834710744,014_,0.9333333333333333,014_,0.8085106382978723,014_,0.7975903614457831
015_,0.8345864661654135,015_,0.8455882352941176,015_,0.8971428571428571,015_,0.8906666666666667
016_,0.7865853658536586,016_,0.8109756097560976,016_,0.8372093023255814,016_,0.8897058823529411
017_,0.8186813186813187,017_,0.8369565217391305,017_,0.9419642857142857,017_,0.9037656903765691
018_,0.7705882352941177,018_,0.8630952380952381,018_,0.8991596638655462,018_,0.8957528957528957
019_,0.8068181818181818,019_,0.8352272727272727,019_,0.8982558139534884,019_,0.9243697478991597
020_,0.86875,020_,0.8881987577639752,020_,0.7047872340425532,020_,0.8024691358024691
021_,0.7605633802816901,021_,0.8098591549295775,021_,0.8333333333333334,021_,0.8403614457831325
022_,0.8701298701298701,022_,0.8701298701298701,022_,0.8614609571788413,022_,0.866822429906542
023_,0.8611111111111112,023_,0.9166666666666666,023_,0.9045801526717557,023_,0.89568345323741
024_,0.835820895522388,024_,0.8725490196078431,024_,0.7608695652173914,024_,0.7463054187192119
025_,0.7727272727272727,025_,0.8016528925619835,025_,0.9188311688311688,025_,0.925
026_,0.9,026_,0.93,026_,0.7183098591549296,026_,0.7674418604651163
027_,0.8427672955974843,027_,0.8944099378881988,027_,0.7632241813602015,027_,0.8257918552036199
028_,0.9134615384615384,028_,0.9619047619047619,028_,0.8167202572347267,028_,0.7842565597667639
029_,0.7314814814814815,029_,0.8090909090909091,029_,0.8809523809523809,029_,0.8932038834951457
030_,0.9101123595505618,030_,0.9431818181818182,030_,0.9308755760368663,030_,0.9203539823008849
031_,0.825503355704698,031_,0.8874172185430463,031_,0.7384615384615385,031_,0.7600950118764845
032_,0.8571428571428571,032_,0.8650306748466258,032_,0.899135446685879,032_,0.885558583106267
0,0,0,0,033_,0.908256880733945,033_,0.9469026548672567
0,0,0,0,034_,0.9277566539923955,034_,0.916058394160584
0,0,0,0,035_,0.7968337730870713,035_,0.8184019370460048
0,0,0,0,036_,0.9478260869565217,036_,0.6055555555555555
0,0,0,0,037_,0.9075,037_,0.9144893111638955
0,0,0,0,038_,0.8746518105849582,038_,0.9102902374670184
0,0,0,0,039_,0.896,039_,0.8957528957528957
0,0,0,0,040_,0.8541666666666666,040_,0.850415512465374
0,0,0,0,041_,0.5626740947075209,041_,0.7813267813267813
0,0,0,0,042_,0.9476439790575916,042_,0.9154228855721394
0,0,0,0,043_,0.9125364431486881,043_,0.930939226519337
0,0,0,0,044_,0.9056603773584906,044_,0.9154411764705882
0,0,0,0,045_,0.8794871794871795,045_,0.8611764705882353
0,0,0,0,046_,0.9393939393939394,046_,0.945054945054945
0,0,0,0,047_,0.9202898550724637,047_,0.8807947019867549
0,0,0,0,048_,0.8934010152284264,048_,0.8732394366197183
0,0,0,0,049_,0.8380281690140845,049_,0.8282828282828283
0,0,0,0,050_,0.7985781990521327,050_,0.8156182212581344
0,0,0,0,051_,0.8604651162790697,051_,0.8419811320754716
0,0,0,0,052_,0.8594164456233422,052_,0.8925
0,0,0,0,053_,0.8140161725067385,053_,0.7793427230046949
0,0,0,0,054_,0.909375,054_,0.8657142857142858
0,0,0,0,055_,0.9407114624505929,055_,0.9132075471698113
0,0,0,0,056_,0.8924418604651163,056_,0.9178470254957507
0,0,0,0,057_,0.8526570048309179,057_,0.8724373576309795
0,0,0,0,058_,0.8909090909090909,058_,0.8880597014925373
0,0,0,0,059_,0.8787878787878788,059_,0.9003215434083601
0,0,0,0,060_,0.7375886524822695,060_,0.8228699551569507
0,0,0,0,061_,0.6970443349753694,061_,0.8394495412844036
0,0,0,0,062_,0.8483290488431876,062_,0.9044117647058824
0,0,0,0,063_,0.9659090909090909,063_,0.945054945054945
0,0,0,0,064_,0.8961748633879781,064_,0.8670076726342711
0,0,0,0,065_,0.8146341463414634,065_,0.7785087719298246
0,0,0,0,066_,0.9475806451612904,066_,0.9377431906614786
0,0,0,0,067_,0.9104477611940298,067_,0.9
0,0,0,0,068_,0.9063545150501672,068_,0.9082278481012658
0,0,0,0,069_,0.798469387755102,069_,0.8041958041958042
0,0,0,0,070_,0.8743016759776536,070_,0.8818897637795275
0,0,0,0,071_,0.7551020408163265,071_,0.8856447688564477
0,0,0,0,072_,0.8678304239401496,072_,0.8907766990291263
0,0,0,0,073_,0.9013157894736842,073_,0.9517684887459807
0,0,0,0,074_,0.8950437317784257,074_,0.8807588075880759
0,0,0,0,075_,0.8817567567567568,075_,0.9108910891089109
0,0,0,0,076_,0.8810975609756098,076_,0.8052631578947368
0,0,0,0,077_,0.7961630695443646,077_,0.8990825688073395
0,0,0,0,078_,0.8899082568807339,078_,0.8997050147492626
0,0,0,0,079_,0.8036175710594315,079_,0.7837837837837838
0,0,0,0,080_,0.7959697732997482,080_,0.8047058823529412
