Image name,Ground Truth,Connected Component,Error
001_,"414
",372,10.144927536231885
002_,"397
",390,1.7632241813602016
003_,"356
",393,10.393258426966293
004_,"297
",310,4.377104377104377
005_,"309
",321,3.8834951456310676
006_,"348
",364,4.597701149425287
007_,"377
",387,2.6525198938992043
008_,"404
",377,6.683168316831684
009_,"317
",336,5.993690851735016
010_,"240
",239,0.4166666666666667
011_,"436
",414,5.045871559633028
012_,"251
",262,4.382470119521913
013_,"435
",415,4.597701149425287
014_,"378
",389,2.91005291005291
015_,"356
",366,2.8089887640449436
016_,"417
",369,11.510791366906476
017_,"231
",232,0.4329004329004329
018_,"242
",234,3.3057851239669422
019_,"364
",346,4.945054945054945
020_,"389
",348,10.539845758354756
021_,"304
",310,1.9736842105263157
022_,"399
",396,0.7518796992481203
023_,"265
",271,2.2641509433962264
024_,"341
",388,13.78299120234604
025_,"323
",318,1.5479876160990713
026_,"344
",370,7.55813953488372
027_,"422
",382,9.47867298578199
028_,"336
",314,6.547619047619048
029_,"306
",296,3.2679738562091507
030_,"228
",228,0.0
031_,"353
",415,17.56373937677054
032_,"357
",343,3.9215686274509802
033_,"339
",330,2.6548672566371683
034_,"269
",275,2.2304832713754648
035_,"370
",380,2.7027027027027026
036_,"122
",127,4.098360655737705
037_,"416
",405,2.644230769230769
038_,"380
",360,5.263157894736842
039_,"248
",254,2.4193548387096775
040_,"334
",345,3.293413173652695
041_,"365
",261,28.493150684931507
042_,"201
",198,1.4925373134328357
043_,"354
",356,0.5649717514124294
044_,"278
",260,6.474820143884892
045_,"394
",417,5.83756345177665
046_,"281
",269,4.270462633451958
047_,"284
",287,1.056338028169014
048_,"408
",399,2.2058823529411766
049_,"285
",307,7.719298245614035
050_,"415
",436,5.0602409638554215
051_,"391
",400,2.3017902813299234
052_,"395
",388,1.7721518987341773
053_,"366
",394,7.650273224043716
054_,"329
",339,3.0395136778115504
055_,"263
",262,0.38022813688212925
056_,"356
",336,5.617977528089887
057_,"413
",426,3.14769975786925
058_,"406
",379,6.65024630541872
059_,"312
",304,2.564102564102564
060_,"430
",380,11.627906976744185
061_,"408
",342,16.176470588235293
062_,"407
",378,7.125307125307126
063_,"276
",279,1.0869565217391304
064_,"363
",390,7.43801652892562
065_,"382
",437,14.397905759162304
066_,"255
",259,1.5686274509803921
067_,"209
",202,3.349282296650718
068_,"312
",301,3.5256410256410255
069_,"381
",409,7.349081364829396
070_,"357
",363,1.680672268907563
071_,"429
",348,18.88111888111888
072_,"423
",389,8.037825059101655
073_,"316
",293,7.2784810126582276
074_,"358
",364,1.675977653631285
075_,"305
",281,7.868852459016394
076_,"326
",348,6.748466257668712
077_,"432
",380,12.037037037037036
078_,"330
",340,3.0303030303030303
079_,"361
",414,14.681440443213297
080_,"370
",434,17.2972972972973
