Image name,Ground Truth,Connected Component,Error
001_,"414
",6,98.55072463768117
002_,"397
",1,99.74811083123426
003_,"356
",2,99.43820224719101
004_,"297
",19,93.60269360269359
005_,"309
",10,96.76375404530745
006_,"348
",8,97.70114942528735
007_,"377
",12,96.81697612732096
008_,"404
",6,98.51485148514851
009_,"317
",5,98.42271293375394
010_,"240
",17,92.91666666666667
011_,"436
",1,99.77064220183486
012_,"251
",28,88.84462151394422
013_,"435
",3,99.3103448275862
014_,"378
",3,99.20634920634922
015_,"356
",11,96.91011235955057
016_,"417
",8,98.08153477218225
017_,"231
",33,85.71428571428571
018_,"242
",25,89.6694214876033
019_,"364
",12,96.7032967032967
020_,"389
",8,97.94344473007712
021_,"304
",10,96.71052631578947
022_,"399
",9,97.74436090225564
023_,"265
",34,87.16981132075472
024_,"341
",9,97.36070381231671
025_,"323
",22,93.18885448916409
026_,"344
",6,98.25581395348837
027_,"422
",7,98.34123222748815
028_,"336
",14,95.83333333333334
029_,"306
",13,95.75163398692811
030_,"228
",46,79.82456140350878
031_,"353
",3,99.15014164305948
032_,"357
",12,96.63865546218487
033_,"339
",12,96.46017699115043
034_,"269
",20,92.56505576208178
035_,"370
",9,97.56756756756756
036_,"122
",68,44.26229508196721
037_,"416
",7,98.3173076923077
038_,"380
",9,97.63157894736842
039_,"248
",37,85.08064516129032
040_,"334
",10,97.0059880239521
041_,"365
",6,98.35616438356163
042_,"201
",52,74.12935323383084
043_,"354
",10,97.17514124293785
044_,"278
",26,90.64748201438849
045_,"394
",4,98.98477157360406
046_,"281
",40,85.76512455516014
047_,"284
",17,94.01408450704226
048_,"408
",8,98.0392156862745
049_,"285
",16,94.38596491228071
050_,"415
",2,99.51807228915662
051_,"391
",6,98.46547314578005
052_,"395
",6,98.48101265822785
053_,"366
",7,98.08743169398907
054_,"329
",10,96.96048632218846
055_,"263
",31,88.212927756654
056_,"356
",10,97.19101123595506
057_,"413
",6,98.54721549636804
058_,"406
",2,99.50738916256158
059_,"312
",21,93.26923076923077
060_,"430
",6,98.6046511627907
061_,"408
",7,98.2843137254902
062_,"407
",10,97.54299754299754
063_,"276
",30,89.13043478260869
064_,"363
",6,98.34710743801654
065_,"382
",2,99.47643979057592
066_,"255
",35,86.27450980392157
067_,"209
",47,77.51196172248804
068_,"312
",24,92.3076923076923
069_,"381
",5,98.68766404199475
070_,"357
",7,98.0392156862745
071_,"429
",8,98.13519813519814
072_,"423
",7,98.3451536643026
073_,"316
",16,94.9367088607595
074_,"358
",11,96.92737430167597
075_,"305
",18,94.09836065573771
076_,"326
",6,98.15950920245399
077_,"432
",8,98.14814814814815
078_,"330
",14,95.75757575757575
079_,"361
",6,98.33795013850416
080_,"370
",6,98.37837837837839
