Image name,Ground Truth,Connected Component,Error
001_,"414
",9,97.82608695652173
002_,"397
",3,99.24433249370277
003_,"356
",14,96.06741573033707
004_,"297
",25,91.58249158249158
005_,"309
",36,88.3495145631068
006_,"348
",17,95.11494252873564
007_,"377
",17,95.49071618037135
008_,"404
",11,97.27722772277228
009_,"317
",16,94.95268138801262
010_,"240
",36,85.0
011_,"436
",6,98.62385321100918
012_,"251
",47,81.27490039840637
013_,"435
",5,98.85057471264368
014_,"378
",16,95.76719576719577
015_,"356
",15,95.78651685393258
016_,"417
",15,96.40287769784173
017_,"231
",43,81.38528138528139
018_,"242
",39,83.88429752066115
019_,"364
",18,95.05494505494505
020_,"389
",17,95.62982005141389
021_,"304
",17,94.4078947368421
022_,"399
",13,96.74185463659147
023_,"265
",43,83.77358490566039
024_,"341
",33,90.32258064516128
025_,"323
",35,89.1640866873065
026_,"344
",13,96.22093023255815
027_,"422
",15,96.44549763033176
028_,"336
",33,90.17857142857143
029_,"306
",16,94.77124183006535
030_,"228
",57,75.0
031_,"353
",14,96.03399433427762
032_,"357
",19,94.67787114845937
033_,"339
",20,94.10029498525073
034_,"269
",55,79.5539033457249
035_,"370
",22,94.05405405405406
036_,"122
",76,37.704918032786885
037_,"416
",12,97.11538461538461
038_,"380
",23,93.94736842105263
039_,"248
",46,81.45161290322581
040_,"334
",19,94.311377245509
041_,"365
",13,96.43835616438356
042_,"201
",62,69.15422885572139
043_,"354
",13,96.32768361581921
044_,"278
",42,84.89208633093526
045_,"394
",8,97.96954314720813
046_,"281
",47,83.27402135231317
047_,"284
",28,90.14084507042254
048_,"408
",12,97.05882352941177
049_,"285
",37,87.01754385964912
050_,"415
",27,93.49397590361446
051_,"391
",13,96.67519181585678
052_,"395
",15,96.20253164556962
053_,"366
",13,96.44808743169399
054_,"329
",15,95.44072948328267
055_,"263
",44,83.26996197718631
056_,"356
",17,95.2247191011236
057_,"413
",19,95.39951573849879
058_,"406
",3,99.26108374384236
059_,"312
",44,85.8974358974359
060_,"430
",20,95.34883720930233
061_,"408
",10,97.54901960784314
062_,"407
",12,97.05159705159704
063_,"276
",39,85.86956521739131
064_,"363
",12,96.69421487603306
065_,"382
",16,95.81151832460732
066_,"255
",41,83.92156862745098
067_,"209
",53,74.64114832535886
068_,"312
",33,89.42307692307693
069_,"381
",21,94.48818897637796
070_,"357
",14,96.07843137254902
071_,"429
",17,96.03729603729604
072_,"423
",11,97.39952718676122
073_,"316
",24,92.40506329113924
074_,"358
",17,95.25139664804469
075_,"305
",26,91.47540983606557
076_,"326
",19,94.1717791411043
077_,"432
",10,97.68518518518519
078_,"330
",30,90.9090909090909
079_,"361
",16,95.56786703601108
080_,"370
",29,92.16216216216216
