Image name,Ground Truth,LoG,Error,DoG,Error,DoH,Error
001_,"414
",757,82.85024154589372,460,11.11111111111111,2050,395.16908212560384
002_,"397
",917,130.9823677581864,494,24.43324937027708,2010,406.29722921914356
003_,"356
",774,117.41573033707866,463,30.0561797752809,2362,563.4831460674158
004_,"297
",555,86.86868686868688,372,25.252525252525253,1782,500.0
005_,"309
",639,106.79611650485437,354,14.563106796116504,1915,519.7411003236246
006_,"348
",891,156.0344827586207,475,36.49425287356322,1971,466.37931034482756
007_,"377
",774,105.30503978779842,445,18.037135278514587,1801,377.7188328912467
008_,"404
",768,90.0990099009901,479,18.564356435643564,2282,464.8514851485149
009_,"317
",826,160.56782334384857,498,57.09779179810725,2614,724.6056782334385
010_,"240
",496,106.66666666666667,283,17.916666666666668,1708,611.6666666666666
011_,"436
",839,92.43119266055045,501,14.908256880733944,1984,355.045871559633
012_,"251
",582,131.87250996015936,313,24.701195219123505,1750,597.2111553784861
013_,"435
",870,100.0,499,14.71264367816092,1851,325.51724137931035
014_,"378
",861,127.77777777777777,493,30.423280423280424,2377,528.8359788359788
015_,"356
",730,105.0561797752809,438,23.03370786516854,1933,442.9775280898877
016_,"417
",830,99.04076738609112,447,7.194244604316546,1768,323.98081534772183
017_,"231
",511,121.21212121212122,291,25.97402597402597,1470,536.3636363636364
018_,"242
",494,104.13223140495869,311,28.512396694214875,1500,519.8347107438017
019_,"364
",679,86.53846153846155,421,15.659340659340659,1845,406.86813186813185
020_,"389
",836,114.91002570694087,491,26.221079691516707,2915,649.3573264781492
021_,"304
",710,133.55263157894737,399,31.25,1686,454.6052631578948
022_,"399
",861,115.78947368421053,492,23.308270676691727,2087,423.0576441102757
023_,"265
",505,90.56603773584906,317,19.622641509433965,1487,461.13207547169816
024_,"341
",671,96.7741935483871,479,40.469208211143695,2668,682.4046920821114
025_,"323
",640,98.14241486068111,357,10.526315789473683,1409,336.2229102167183
026_,"344
",783,127.61627906976744,487,41.56976744186046,2779,707.8488372093024
027_,"422
",814,92.89099526066352,504,19.431279620853083,2427,475.11848341232223
028_,"336
",684,103.57142857142858,407,21.13095238095238,2092,522.6190476190476
029_,"306
",579,89.2156862745098,366,19.607843137254903,1693,453.26797385620915
030_,"228
",452,98.24561403508771,260,14.035087719298245,1181,417.98245614035085
031_,"353
",866,145.32577903682719,525,48.725212464589234,2573,628.8951841359774
032_,"357
",604,69.187675070028,412,15.406162464985995,2043,472.2689075630252
033_,"339
",705,107.9646017699115,391,15.339233038348082,1771,422.4188790560472
034_,"269
",520,93.3085501858736,310,15.241635687732341,1707,534.5724907063196
035_,"370
",713,92.7027027027027,467,26.216216216216214,2353,535.9459459459459
036_,"122
",258,111.47540983606557,170,39.34426229508197,1031,745.0819672131147
037_,"416
",699,68.02884615384616,449,7.9326923076923075,1876,350.96153846153845
038_,"380
",727,91.3157894736842,431,13.421052631578947,2128,459.99999999999994
039_,"248
",492,98.38709677419355,287,15.725806451612904,1488,500.0
040_,"334
",788,135.92814371257484,425,27.245508982035926,2229,567.3652694610778
041_,"365
",843,130.95890410958904,492,34.794520547945204,2553,599.4520547945206
042_,"201
",339,68.65671641791045,222,10.44776119402985,1138,466.16915422885575
043_,"354
",771,117.79661016949152,423,19.491525423728813,1658,368.3615819209039
044_,"278
",523,88.12949640287769,307,10.431654676258994,1532,451.07913669064754
045_,"394
",609,54.568527918781726,490,24.36548223350254,2348,495.93908629441626
046_,"281
",544,93.59430604982207,312,11.032028469750891,1398,397.50889679715306
047_,"284
",546,92.25352112676056,346,21.830985915492956,1709,501.7605633802817
048_,"408
",806,97.54901960784314,479,17.401960784313726,1727,323.2843137254902
049_,"285
",599,110.17543859649123,344,20.701754385964914,2132,648.0701754385965
050_,"415
",847,104.09638554216866,519,25.060240963855424,2613,529.6385542168674
051_,"391
",828,111.76470588235294,496,26.854219948849106,2253,476.21483375959076
052_,"395
",812,105.56962025316456,480,21.518987341772153,2254,470.6329113924051
053_,"366
",841,129.78142076502732,493,34.69945355191257,2591,607.9234972677596
054_,"329
",728,121.27659574468086,430,30.69908814589666,1947,491.79331306990883
055_,"263
",571,117.11026615969583,325,23.574144486692013,1334,407.2243346007604
056_,"356
",712,100.0,414,16.292134831460675,1723,383.9887640449438
057_,"413
",794,92.25181598062953,511,23.728813559322035,2392,479.1767554479419
058_,"406
",724,78.32512315270937,456,12.31527093596059,2061,407.6354679802956
059_,"312
",475,52.243589743589745,355,13.782051282051283,1910,512.1794871794872
060_,"430
",712,65.58139534883722,478,11.162790697674419,2422,463.25581395348837
061_,"408
",865,112.00980392156863,493,20.833333333333336,2126,421.07843137254906
062_,"407
",689,69.28746928746928,459,12.776412776412776,2044,402.21130221130215
063_,"276
",523,89.4927536231884,301,9.057971014492754,1552,462.3188405797101
064_,"363
",824,126.99724517906337,458,26.170798898071624,1993,449.03581267217635
065_,"382
",924,141.8848167539267,535,40.05235602094241,2409,530.6282722513089
066_,"255
",528,107.05882352941177,301,18.03921568627451,1357,432.156862745098
067_,"209
",411,96.65071770334929,223,6.698564593301436,1282,513.3971291866029
068_,"312
",596,91.02564102564102,354,13.461538461538462,1607,415.06410256410254
069_,"381
",929,143.83202099737534,515,35.170603674540686,2365,520.7349081364829
070_,"357
",641,79.55182072829132,429,20.168067226890756,2112,491.59663865546224
071_,"429
",719,67.5990675990676,451,5.128205128205128,1901,343.12354312354313
072_,"423
",726,71.63120567375887,448,5.91016548463357,1963,364.0661938534279
073_,"316
",537,69.9367088607595,340,7.59493670886076,1620,412.65822784810126
074_,"358
",721,101.39664804469272,442,23.463687150837988,1975,451.6759776536313
075_,"305
",540,77.04918032786885,333,9.180327868852459,1566,413.44262295081967
076_,"326
",780,139.2638036809816,448,37.423312883435585,2111,547.5460122699386
077_,"432
",794,83.79629629629629,477,10.416666666666668,1871,333.10185185185185
078_,"330
",681,106.36363636363637,396,20.0,1710,418.1818181818182
079_,"361
",713,97.50692520775624,466,29.085872576177284,2491,590.027700831025
080_,"370
",802,116.75675675675676,513,38.648648648648646,2570,594.5945945945946
