Image name,Ground Truth,Local Maxima,Error
001_,"414
",361,12.80193236714976
002_,"397
",365,8.060453400503778
003_,"356
",367,3.089887640449438
004_,"297
",287,3.3670033670033668
005_,"309
",290,6.148867313915858
006_,"348
",352,1.1494252873563218
007_,"377
",373,1.0610079575596816
008_,"404
",350,13.366336633663368
009_,"317
",314,0.9463722397476341
010_,"240
",230,4.166666666666666
011_,"436
",400,8.256880733944955
012_,"251
",245,2.3904382470119523
013_,"435
",393,9.655172413793103
014_,"378
",359,5.026455026455026
015_,"356
",343,3.651685393258427
016_,"417
",350,16.06714628297362
017_,"231
",224,3.0303030303030303
018_,"242
",227,6.198347107438017
019_,"364
",330,9.340659340659341
020_,"389
",315,19.02313624678663
021_,"304
",293,3.618421052631579
022_,"399
",385,3.508771929824561
023_,"265
",259,2.2641509433962264
024_,"341
",353,3.519061583577713
025_,"323
",303,6.191950464396285
026_,"344
",328,4.651162790697675
027_,"422
",346,18.009478672985782
028_,"336
",298,11.30952380952381
029_,"306
",278,9.15032679738562
030_,"228
",217,4.824561403508771
031_,"353
",377,6.79886685552408
032_,"357
",336,5.88235294117647
033_,"339
",315,7.079646017699115
034_,"269
",267,0.7434944237918215
035_,"370
",349,5.675675675675676
036_,"122
",118,3.278688524590164
037_,"416
",391,6.009615384615385
038_,"380
",342,10.0
039_,"248
",251,1.2096774193548387
040_,"334
",327,2.095808383233533
041_,"365
",236,35.342465753424655
042_,"201
",187,6.965174129353234
043_,"354
",330,6.779661016949152
044_,"278
",252,9.352517985611511
045_,"394
",384,2.5380710659898478
046_,"281
",259,7.829181494661921
047_,"284
",269,5.28169014084507
048_,"408
",383,6.127450980392156
049_,"285
",281,1.4035087719298245
050_,"415
",400,3.614457831325301
051_,"391
",372,4.859335038363171
052_,"395
",360,8.860759493670885
053_,"366
",355,3.0054644808743167
054_,"329
",318,3.343465045592705
055_,"263
",252,4.182509505703422
056_,"356
",325,8.707865168539326
057_,"413
",406,1.694915254237288
058_,"406
",363,10.591133004926109
059_,"312
",283,9.294871794871796
060_,"430
",358,16.74418604651163
061_,"408
",325,20.34313725490196
062_,"407
",362,11.056511056511056
063_,"276
",265,3.985507246376811
064_,"363
",366,0.8264462809917356
065_,"382
",414,8.37696335078534
066_,"255
",245,3.9215686274509802
067_,"209
",193,7.655502392344498
068_,"312
",298,4.487179487179487
069_,"381
",373,2.099737532808399
070_,"357
",350,1.9607843137254901
071_,"429
",317,26.107226107226104
072_,"423
",371,12.293144208037825
073_,"316
",286,9.49367088607595
074_,"358
",342,4.4692737430167595
075_,"305
",279,8.524590163934425
076_,"326
",331,1.5337423312883436
077_,"432
",366,15.277777777777779
078_,"330
",321,2.727272727272727
079_,"361
",381,5.540166204986149
080_,"370
",400,8.108108108108109
