Image name,Ground Truth,Watershed,Error
001_,"414
",400,3.3816425120772946
002_,"397
",420,5.793450881612091
003_,"356
",416,16.853932584269664
004_,"297
",324,9.090909090909092
005_,"309
",334,8.090614886731391
006_,"348
",379,8.908045977011495
007_,"377
",401,6.36604774535809
008_,"404
",414,2.4752475247524752
009_,"317
",363,14.511041009463725
010_,"240
",247,2.9166666666666665
011_,"436
",448,2.7522935779816518
012_,"251
",269,7.171314741035857
013_,"435
",442,1.6091954022988506
014_,"378
",400,5.82010582010582
015_,"356
",397,11.51685393258427
016_,"417
",395,5.275779376498801
017_,"231
",244,5.627705627705628
018_,"242
",257,6.198347107438017
019_,"364
",365,0.27472527472527475
020_,"389
",372,4.370179948586118
021_,"304
",332,9.210526315789473
022_,"399
",428,7.268170426065162
023_,"265
",276,4.150943396226415
024_,"341
",388,13.78299120234604
025_,"323
",325,0.6191950464396285
026_,"344
",377,9.593023255813954
027_,"422
",405,4.028436018957346
028_,"336
",327,2.6785714285714284
029_,"306
",314,2.6143790849673203
030_,"228
",233,2.1929824561403506
031_,"353
",426,20.679886685552407
032_,"357
",356,0.2801120448179272
033_,"339
",347,2.359882005899705
034_,"269
",283,5.204460966542751
035_,"370
",408,10.27027027027027
036_,"122
",127,4.098360655737705
037_,"416
",426,2.403846153846154
038_,"380
",391,2.8947368421052633
039_,"248
",263,6.048387096774194
040_,"334
",356,6.58682634730539
041_,"365
",361,1.095890410958904
042_,"201
",204,1.4925373134328357
043_,"354
",374,5.649717514124294
044_,"278
",270,2.877697841726619
045_,"394
",451,14.467005076142131
046_,"281
",279,0.7117437722419928
047_,"284
",304,7.042253521126761
048_,"408
",422,3.431372549019608
049_,"285
",313,9.824561403508772
050_,"415
",447,7.710843373493977
051_,"391
",438,12.020460358056265
052_,"395
",412,4.30379746835443
053_,"366
",415,13.387978142076504
054_,"329
",361,9.72644376899696
055_,"263
",273,3.802281368821293
056_,"356
",351,1.4044943820224718
057_,"413
",444,7.506053268765134
058_,"406
",401,1.2315270935960592
059_,"312
",322,3.205128205128205
060_,"430
",399,7.209302325581396
061_,"408
",410,0.49019607843137253
062_,"407
",415,1.9656019656019657
063_,"276
",284,2.898550724637681
064_,"363
",403,11.019283746556475
065_,"382
",447,17.015706806282722
066_,"255
",268,5.098039215686274
067_,"209
",208,0.4784688995215311
068_,"312
",326,4.487179487179487
069_,"381
",424,11.286089238845145
070_,"357
",389,8.96358543417367
071_,"429
",387,9.79020979020979
072_,"423
",407,3.7825059101654848
073_,"316
",307,2.848101265822785
074_,"358
",378,5.58659217877095
075_,"305
",293,3.934426229508197
076_,"326
",382,17.177914110429448
077_,"432
",421,2.5462962962962963
078_,"330
",354,7.2727272727272725
079_,"361
",426,18.005540166204987
080_,"370
",450,21.62162162162162
