Image name,Ground Truth,Watershed,Error
001_,"414
",432,4.3478260869565215
002_,"397
",451,13.602015113350127
003_,"356
",436,22.47191011235955
004_,"297
",341,14.814814814814813
005_,"309
",337,9.06148867313916
006_,"348
",427,22.701149425287355
007_,"377
",421,11.671087533156498
008_,"404
",436,7.920792079207921
009_,"317
",449,41.6403785488959
010_,"240
",263,9.583333333333334
011_,"436
",466,6.8807339449541285
012_,"251
",291,15.936254980079681
013_,"435
",461,5.977011494252873
014_,"378
",451,19.31216931216931
015_,"356
",412,15.730337078651685
016_,"417
",431,3.357314148681055
017_,"231
",266,15.151515151515152
018_,"242
",274,13.223140495867769
019_,"364
",387,6.318681318681318
020_,"389
",430,10.539845758354756
021_,"304
",362,19.078947368421055
022_,"399
",455,14.035087719298245
023_,"265
",298,12.452830188679245
024_,"341
",437,28.152492668621704
025_,"323
",342,5.88235294117647
026_,"344
",433,25.872093023255815
027_,"422
",491,16.350710900473935
028_,"336
",370,10.119047619047619
029_,"306
",332,8.49673202614379
030_,"228
",246,7.894736842105263
031_,"353
",482,36.54390934844193
032_,"357
",383,7.282913165266107
033_,"339
",366,7.964601769911504
034_,"269
",293,8.921933085501859
035_,"370
",450,21.62162162162162
036_,"122
",201,64.75409836065575
037_,"416
",443,6.490384615384616
038_,"380
",403,6.052631578947368
039_,"248
",272,9.67741935483871
040_,"334
",392,17.365269461077844
041_,"365
",431,18.08219178082192
042_,"201
",224,11.442786069651742
043_,"354
",397,12.146892655367232
044_,"278
",286,2.877697841726619
045_,"394
",469,19.035532994923855
046_,"281
",292,3.9145907473309607
047_,"284
",338,19.014084507042252
048_,"408
",454,11.27450980392157
049_,"285
",330,15.789473684210526
050_,"415
",488,17.59036144578313
051_,"391
",465,18.925831202046037
052_,"395
",445,12.658227848101266
053_,"366
",465,27.049180327868854
054_,"329
",384,16.717325227963524
055_,"263
",292,11.02661596958175
056_,"356
",368,3.3707865168539324
057_,"413
",485,17.433414043583532
058_,"406
",415,2.2167487684729066
059_,"312
",345,10.576923076923077
060_,"430
",466,8.372093023255815
061_,"408
",465,13.970588235294118
062_,"407
",444,9.090909090909092
063_,"276
",295,6.884057971014493
064_,"363
",418,15.151515151515152
065_,"382
",506,32.460732984293195
066_,"255
",284,11.372549019607844
067_,"209
",220,5.263157894736842
068_,"312
",338,8.333333333333332
069_,"381
",482,26.509186351706038
070_,"357
",411,15.126050420168067
071_,"429
",427,0.4662004662004662
072_,"423
",426,0.7092198581560284
073_,"316
",328,3.79746835443038
074_,"358
",405,13.128491620111731
075_,"305
",306,0.32786885245901637
076_,"326
",422,29.447852760736197
077_,"432
",454,5.092592592592593
078_,"330
",368,11.515151515151516
079_,"361
",454,25.761772853185594
080_,"370
",485,31.08108108108108
