Image name_1,Ground Truth_1,Watershed_1,Error_1,Image name_2,Ground Truth_2,Connected Component_2,Error_2,Image name_3,Ground Truth_3,Local Maxima_3,Error_3
001_,414,432,4.3478260869565215,001_,414,432,4.3478260869565215,001_,414,422,1.932367149758454
002_,397,451,13.602015113350127,002_,397,451,13.602015113350127,002_,397,444,11.838790931989925
003_,356,436,22.47191011235955,003_,356,436,22.47191011235955,003_,356,421,18.25842696629213
004_,297,341,14.814814814814811,004_,297,341,14.814814814814811,004_,297,330,11.11111111111111
005_,309,337,9.06148867313916,005_,309,337,9.06148867313916,005_,309,310,0.3236245954692557
006_,348,427,22.701149425287355,006_,348,427,22.701149425287355,006_,348,418,20.114942528735632
007_,377,421,11.671087533156498,007_,377,421,11.671087533156498,007_,377,416,10.344827586206897
008_,404,436,7.920792079207921,008_,404,436,7.920792079207921,008_,404,413,2.2277227722772275
009_,317,449,41.6403785488959,009_,317,451,42.27129337539432,009_,317,433,36.59305993690852
010_,240,263,9.583333333333334,010_,240,265,10.416666666666668,010_,240,254,5.833333333333333
011_,436,466,6.8807339449541285,011_,436,466,6.8807339449541285,011_,436,454,4.128440366972478
012_,251,291,15.93625498007968,012_,251,291,15.93625498007968,012_,251,266,5.9760956175298805
013_,435,461,5.977011494252873,013_,435,463,6.436781609195402,013_,435,453,4.137931034482759
014_,378,451,19.31216931216931,014_,378,451,19.31216931216931,014_,378,437,15.608465608465607
015_,356,412,15.730337078651685,015_,356,412,15.730337078651685,015_,356,393,10.393258426966293
016_,417,431,3.357314148681055,016_,417,431,3.357314148681055,016_,417,406,2.6378896882494005
017_,231,266,15.151515151515152,017_,231,266,15.151515151515152,017_,231,264,14.285714285714285
018_,242,274,13.223140495867767,018_,242,274,13.223140495867767,018_,242,273,12.8099173553719
019_,364,387,6.318681318681318,019_,364,388,6.593406593406594,019_,364,379,4.12087912087912
020_,389,430,10.539845758354756,020_,389,430,10.539845758354756,020_,389,408,4.884318766066838
021_,304,362,19.07894736842105,021_,304,362,19.07894736842105,021_,304,356,17.105263157894736
022_,399,455,14.035087719298245,022_,399,456,14.285714285714285,022_,399,439,10.025062656641603
023_,265,298,12.452830188679243,023_,265,298,12.452830188679243,023_,265,290,9.433962264150944
024_,341,437,28.152492668621704,024_,341,439,28.739002932551323,024_,341,434,27.27272727272727
025_,323,342,5.88235294117647,025_,323,343,6.191950464396285,025_,323,335,3.7151702786377703
026_,344,433,25.87209302325581,026_,344,436,26.744186046511626,026_,344,414,20.348837209302324
027_,422,491,16.350710900473935,027_,422,491,16.350710900473935,027_,422,460,9.004739336492891
028_,336,370,10.11904761904762,028_,336,371,10.416666666666668,028_,336,358,6.547619047619048
029_,306,332,8.49673202614379,029_,306,333,8.823529411764707,029_,306,323,5.555555555555555
030_,228,246,7.894736842105263,030_,228,246,7.894736842105263,030_,228,241,5.701754385964912
031_,353,482,36.54390934844193,031_,353,482,36.54390934844193,031_,353,457,29.461756373937675
032_,357,383,7.282913165266107,032_,357,383,7.282913165266107,032_,357,390,9.243697478991598
033_,339,366,7.964601769911504,033_,339,367,8.259587020648967,033_,339,359,5.899705014749262
034_,269,293,8.921933085501859,034_,269,293,8.921933085501859,034_,269,288,7.063197026022305
035_,370,450,21.62162162162162,035_,370,450,21.62162162162162,035_,370,421,13.783783783783784
036_,122,201,64.75409836065575,036_,122,201,64.75409836065575,036_,122,197,61.47540983606557
037_,416,443,6.490384615384616,037_,416,446,7.211538461538461,037_,416,428,2.8846153846153846
038_,380,403,6.052631578947368,038_,380,403,6.052631578947368,038_,380,390,2.631578947368421
039_,248,272,9.67741935483871,039_,248,272,9.67741935483871,039_,248,268,8.064516129032258
040_,334,392,17.365269461077844,040_,334,392,17.365269461077844,040_,334,375,12.275449101796406
041_,365,431,18.08219178082192,041_,365,432,18.356164383561644,041_,365,415,13.6986301369863
042_,201,224,11.442786069651742,042_,201,224,11.442786069651742,042_,201,222,10.44776119402985
043_,354,397,12.146892655367232,043_,354,398,12.429378531073446,043_,354,374,5.649717514124294
044_,278,286,2.877697841726619,044_,278,286,2.877697841726619,044_,278,280,0.7194244604316548
045_,394,469,19.03553299492385,045_,394,470,19.289340101522843,045_,394,452,14.720812182741115
046_,281,292,3.9145907473309607,046_,281,292,3.9145907473309607,046_,281,283,0.7117437722419928
047_,284,338,19.01408450704225,047_,284,338,19.01408450704225,047_,284,312,9.859154929577464
048_,408,454,11.27450980392157,048_,408,456,11.76470588235294,048_,408,444,8.823529411764707
