Image name,Ground Truth,Connected Component,Error
001_,"135
",109,19.25925925925926
002_,"233
",163,30.042918454935624
003_,"82
",69,15.853658536585366
004_,"86
",66,23.25581395348837
005_,"96
",82,14.583333333333334
006_,"143
",115,19.58041958041958
007_,"169
",136,19.526627218934912
008_,"122
",99,18.852459016393443
009_,"168
",132,21.428571428571427
010_,"115
",93,19.130434782608695
011_,"117
",94,19.65811965811966
012_,"301
",194,35.548172757475086
013_,"78
",67,14.102564102564102
014_,"146
",112,23.28767123287671
015_,"155
",114,26.451612903225808
016_,"199
",144,27.63819095477387
017_,"223
",154,30.94170403587444
018_,"195
",145,25.64102564102564
019_,"197
",149,24.36548223350254
020_,"183
",150,18.0327868852459
021_,"158
",113,28.48101265822785
022_,"200
",144,28.000000000000004
023_,"168
",129,23.214285714285715
024_,"241
",179,25.72614107883817
025_,"315
",200,36.507936507936506
026_,"112
",93,16.964285714285715
027_,"196
",144,26.53061224489796
028_,"111
",99,10.81081081081081
029_,"255
",164,35.68627450980392
030_,"97
",82,15.463917525773196
031_,"190
",129,32.10526315789474
032_,"197
",147,25.380710659898476
