Image name,Ground Truth,Connected Component,Error
001_,"135
",63,53.333333333333336
002_,"233
",60,74.2489270386266
003_,"82
",45,45.1219512195122
004_,"86
",43,50.0
005_,"96
",52,45.83333333333333
006_,"143
",58,59.44055944055944
007_,"169
",58,65.68047337278107
008_,"122
",56,54.09836065573771
009_,"168
",66,60.71428571428571
010_,"115
",59,48.69565217391305
011_,"117
",59,49.572649572649574
012_,"301
",46,84.71760797342192
013_,"78
",47,39.743589743589745
014_,"146
",54,63.013698630136986
015_,"155
",58,62.58064516129033
016_,"199
",69,65.32663316582915
017_,"223
",53,76.23318385650224
018_,"195
",54,72.3076923076923
019_,"197
",61,69.03553299492386
020_,"183
",64,65.02732240437157
021_,"158
",54,65.82278481012658
022_,"200
",67,66.5
023_,"168
",59,64.88095238095238
024_,"241
",58,75.93360995850622
025_,"315
",38,87.93650793650794
026_,"112
",43,61.60714285714286
027_,"196
",65,66.83673469387756
028_,"111
",52,53.153153153153156
029_,"255
",55,78.43137254901961
030_,"97
",48,50.51546391752577
031_,"190
",57,70.0
032_,"197
",62,68.52791878172589
