Image name,Ground Truth,Connected Component,Error
001_,"135
",58,57.03703703703704
002_,"233
",55,76.39484978540773
003_,"82
",43,47.5609756097561
004_,"86
",41,52.32558139534884
005_,"96
",51,46.875
006_,"143
",53,62.93706293706294
007_,"169
",56,66.86390532544378
008_,"122
",52,57.377049180327866
009_,"168
",58,65.47619047619048
010_,"115
",59,48.69565217391305
011_,"117
",50,57.26495726495726
012_,"301
",39,87.04318936877077
013_,"78
",45,42.30769230769231
014_,"146
",52,64.38356164383562
015_,"155
",55,64.51612903225806
016_,"199
",69,65.32663316582915
017_,"223
",49,78.02690582959642
018_,"195
",55,71.7948717948718
019_,"197
",62,68.52791878172589
020_,"183
",63,65.57377049180327
021_,"158
",56,64.55696202531645
022_,"200
",63,68.5
023_,"168
",57,66.07142857142857
024_,"241
",58,75.93360995850622
025_,"315
",38,87.93650793650794
026_,"112
",39,65.17857142857143
027_,"196
",58,70.40816326530613
028_,"111
",50,54.95495495495496
029_,"255
",49,80.7843137254902
030_,"97
",45,53.608247422680414
031_,"190
",57,70.0
032_,"197
",63,68.02030456852792
