Image name,IoU
001_,0.8983050847457628
002_,0.7978723404255319
003_,0.9315068493150684
004_,0.8611111111111112
005_,0.8837209302325582
006_,0.9024390243902439
007_,0.8918918918918919
008_,0.8962264150943396
009_,0.8671328671328671
010_,0.9368421052631579
011_,0.8653846153846154
012_,0.7542372881355932
013_,0.8493150684931506
014_,0.8925619834710744
015_,0.8345864661654135
016_,0.7865853658536586
017_,0.8186813186813187
018_,0.7705882352941177
019_,0.8068181818181818
020_,0.86875
021_,0.7605633802816901
022_,0.8701298701298701
023_,0.8611111111111112
024_,0.835820895522388
025_,0.7727272727272727
026_,0.9
027_,0.8427672955974843
028_,0.9134615384615384
029_,0.7314814814814815
030_,0.9101123595505618
031_,0.825503355704698
032_,0.8571428571428571
