Image name,IoU
001_,0.9243697478991597
002_,0.8670212765957447
003_,0.9041095890410958
004_,0.8888888888888888
005_,0.896551724137931
006_,0.9112903225806451
007_,0.9662162162162162
008_,0.9056603773584906
009_,0.8958333333333334
010_,0.9157894736842105
011_,0.9326923076923077
012_,0.8326359832635983
013_,0.9
014_,0.9333333333333333
015_,0.8455882352941176
016_,0.8109756097560976
017_,0.8369565217391305
018_,0.8630952380952381
019_,0.8352272727272727
020_,0.8881987577639752
021_,0.8098591549295775
022_,0.8701298701298701
023_,0.9166666666666666
024_,0.8725490196078431
025_,0.8016528925619835
026_,0.93
027_,0.8944099378881988
028_,0.9619047619047619
029_,0.8090909090909091
030_,0.9431818181818182
031_,0.8874172185430463
032_,0.8650306748466258
