Image name,Ground Truth,Local Maxima,Error
001_,"135
",114,15.555555555555555
002_,"233
",182,21.888412017167383
003_,"82
",71,13.414634146341465
004_,"86
",71,17.441860465116278
005_,"96
",85,11.458333333333332
006_,"143
",122,14.685314685314685
007_,"169
",145,14.201183431952662
008_,"122
",100,18.0327868852459
009_,"168
",141,16.071428571428573
010_,"115
",93,19.130434782608695
011_,"117
",103,11.965811965811966
012_,"301
",234,22.259136212624583
013_,"78
",68,12.82051282051282
014_,"146
",120,17.80821917808219
015_,"155
",125,19.35483870967742
016_,"199
",153,23.115577889447238
017_,"223
",175,21.524663677130047
018_,"195
",165,15.384615384615385
019_,"197
",163,17.258883248730964
020_,"183
",156,14.754098360655737
021_,"158
",132,16.455696202531644
022_,"200
",147,26.5
023_,"168
",141,16.071428571428573
024_,"241
",196,18.672199170124482
025_,"315
",231,26.666666666666668
026_,"112
",96,14.285714285714285
027_,"196
",157,19.897959183673468
028_,"111
",104,6.306306306306306
029_,"255
",199,21.96078431372549
030_,"97
",88,9.278350515463918
031_,"190
",145,23.684210526315788
032_,"197
",158,19.796954314720814
