Image name,Ground Truth,Local Maxima,Error
001_,"135
",117,13.333333333333334
002_,"233
",178,23.605150214592275
003_,"82
",67,18.29268292682927
004_,"86
",68,20.930232558139537
005_,"96
",83,13.541666666666666
006_,"143
",122,14.685314685314685
007_,"169
",145,14.201183431952662
008_,"122
",100,18.0327868852459
009_,"168
",141,16.071428571428573
010_,"115
",92,20.0
011_,"117
",103,11.965811965811966
012_,"301
",225,25.249169435215947
013_,"78
",65,16.666666666666664
014_,"146
",119,18.493150684931507
015_,"155
",126,18.70967741935484
016_,"199
",153,23.115577889447238
017_,"223
",172,22.869955156950674
018_,"195
",161,17.435897435897434
019_,"197
",157,20.304568527918782
020_,"183
",154,15.846994535519126
021_,"158
",132,16.455696202531644
022_,"200
",145,27.500000000000004
023_,"168
",143,14.880952380952381
024_,"241
",201,16.59751037344398
025_,"315
",226,28.253968253968253
026_,"112
",96,14.285714285714285
027_,"196
",158,19.387755102040817
028_,"111
",104,6.306306306306306
029_,"255
",201,21.176470588235293
030_,"97
",84,13.402061855670103
031_,"190
",146,23.157894736842106
032_,"197
",162,17.766497461928935
