Image name_1,Ground Truth_1,Watershed_1,Error_1,Image name_2,Ground Truth_2,Connected Component_2,Error_2,Image name_3,Ground Truth_3,Local Maxima_3,Error_3
001_,135,107,20.74074074074074,001_,135,107,20.74074074074074,001_,135,114,15.555555555555555
002_,233,155,33.47639484978541,002_,233,155,33.47639484978541,002_,233,182,21.888412017167383
003_,82,67,18.29268292682927,003_,82,67,18.29268292682927,003_,82,71,13.414634146341465
004_,86,65,24.418604651162788,004_,86,65,24.418604651162788,004_,86,71,17.441860465116278
005_,96,82,14.583333333333334,005_,96,82,14.583333333333334,005_,96,85,11.458333333333332
006_,143,111,22.377622377622377,006_,143,111,22.377622377622377,006_,143,122,14.685314685314683
007_,169,136,19.526627218934912,007_,169,136,19.526627218934912,007_,169,145,14.201183431952662
008_,122,98,19.672131147540984,008_,122,98,19.672131147540984,008_,122,100,18.0327868852459
009_,168,130,22.61904761904762,009_,168,130,22.61904761904762,009_,168,141,16.071428571428573
010_,115,89,22.608695652173918,010_,115,89,22.608695652173918,010_,115,93,19.130434782608692
011_,117,95,18.803418803418804,011_,117,95,18.803418803418804,011_,117,103,11.965811965811966
012_,301,187,37.87375415282392,012_,301,187,37.87375415282392,012_,301,234,22.259136212624583
013_,78,67,14.102564102564102,013_,78,67,14.102564102564102,013_,78,68,12.82051282051282
014_,146,111,23.972602739726025,014_,146,111,23.972602739726025,014_,146,120,17.80821917808219
015_,155,116,25.161290322580644,015_,155,116,25.161290322580644,015_,155,125,19.35483870967742
016_,199,144,27.63819095477387,016_,199,145,27.1356783919598,016_,199,153,23.11557788944724
017_,223,150,32.73542600896861,017_,223,151,32.28699551569507,017_,223,175,21.524663677130047
018_,195,140,28.205128205128204,018_,195,140,28.205128205128204,018_,195,165,15.384615384615383
019_,197,148,24.873096446700508,019_,197,148,24.873096446700508,019_,197,163,17.258883248730964
020_,183,143,21.85792349726776,020_,183,143,21.85792349726776,020_,183,156,14.754098360655735
021_,158,110,30.37974683544304,021_,158,110,30.37974683544304,021_,158,132,16.455696202531644
022_,200,139,30.5,022_,200,139,30.5,022_,200,147,26.5
023_,168,132,21.428571428571427,023_,168,132,21.428571428571427,023_,168,141,16.071428571428573
024_,241,176,26.970954356846477,024_,241,176,26.970954356846477,024_,241,196,18.67219917012448
025_,315,181,42.53968253968254,025_,315,181,42.53968253968254,025_,315,231,26.666666666666668
026_,112,94,16.071428571428573,026_,112,95,15.178571428571429,026_,112,96,14.285714285714285
027_,196,140,28.57142857142857,027_,196,140,28.57142857142857,027_,196,157,19.897959183673468
028_,111,98,11.711711711711713,028_,111,98,11.711711711711713,028_,111,104,6.306306306306306
029_,255,159,37.64705882352941,029_,255,159,37.64705882352941,029_,255,199,21.96078431372549
030_,97,80,17.525773195876287,030_,97,80,17.525773195876287,030_,97,88,9.278350515463918
031_,190,129,32.10526315789474,031_,190,129,32.10526315789474,031_,190,145,23.684210526315788
032_,197,141,28.426395939086294,032_,197,141,28.426395939086294,032_,197,158,19.79695431472081
