Image name_1,Ground Truth_1,Watershed_1,Error_1,Image name_2,Ground Truth_2,Connected Component_2,Error_2,Image name_3,Ground Truth_3,Local Maxima_3,Error_3
001_,135,110,18.51851851851852,001_,135,110,18.51851851851852,001_,135,117,13.333333333333334
002_,233,166,28.75536480686695,002_,233,166,28.75536480686695,002_,233,178,23.605150214592275
003_,82,68,17.073170731707318,003_,82,68,17.073170731707318,003_,82,67,18.29268292682927
004_,86,65,24.418604651162788,004_,86,65,24.418604651162788,004_,86,68,20.930232558139537
005_,96,84,12.5,005_,96,84,12.5,005_,96,83,13.541666666666666
006_,143,116,18.88111888111888,006_,143,116,18.88111888111888,006_,143,122,14.685314685314683
007_,169,144,14.792899408284024,007_,169,144,14.792899408284024,007_,169,145,14.201183431952662
008_,122,99,18.852459016393443,008_,122,99,18.852459016393443,008_,122,100,18.0327868852459
009_,168,136,19.047619047619047,009_,168,136,19.047619047619047,009_,168,141,16.071428571428573
010_,115,92,20.0,010_,115,92,20.0,010_,115,92,20.0
011_,117,99,15.384615384615383,011_,117,100,14.529914529914532,011_,117,103,11.965811965811966
012_,301,201,33.222591362126245,012_,301,201,33.222591362126245,012_,301,225,25.249169435215947
013_,78,66,15.384615384615383,013_,78,66,15.384615384615383,013_,78,65,16.666666666666664
014_,146,116,20.54794520547945,014_,146,116,20.54794520547945,014_,146,119,18.493150684931507
015_,155,120,22.58064516129032,015_,155,120,22.58064516129032,015_,155,126,18.70967741935484
016_,199,146,26.633165829145728,016_,199,148,25.628140703517587,016_,199,153,23.11557788944724
017_,223,156,30.04484304932735,017_,223,156,30.04484304932735,017_,223,172,22.869955156950677
018_,195,156,20.0,018_,195,156,20.0,018_,195,161,17.435897435897434
019_,197,150,23.85786802030457,019_,197,150,23.85786802030457,019_,197,157,20.304568527918786
020_,183,152,16.939890710382514,020_,183,152,16.939890710382514,020_,183,154,15.846994535519126
021_,158,122,22.78481012658228,021_,158,122,22.78481012658228,021_,158,132,16.455696202531644
022_,200,139,30.5,022_,200,139,30.5,022_,200,145,27.500000000000004
023_,168,138,17.857142857142858,023_,168,138,17.857142857142858,023_,168,143,14.88095238095238
024_,241,183,24.066390041493776,024_,241,183,24.066390041493776,024_,241,201,16.59751037344398
025_,315,196,37.77777777777778,025_,315,196,37.77777777777778,025_,315,226,28.253968253968253
026_,112,96,14.285714285714285,026_,112,96,14.285714285714285,026_,112,96,14.285714285714285
027_,196,153,21.93877551020408,027_,196,153,21.93877551020408,027_,196,158,19.387755102040817
028_,111,102,8.108108108108109,028_,111,102,8.108108108108109,028_,111,104,6.306306306306306
029_,255,175,31.37254901960784,029_,255,175,31.37254901960784,029_,255,201,21.176470588235293
030_,97,83,14.432989690721648,030_,97,83,14.432989690721648,030_,97,84,13.402061855670103
031_,190,137,27.89473684210526,031_,190,137,27.89473684210526,031_,190,146,23.157894736842103
032_,197,149,24.36548223350254,032_,197,149,24.36548223350254,032_,197,162,17.766497461928935
