Image name_1,Ground Truth_1,Connected Component_1,Error_1,Image name_2,Ground Truth_2,Connected Component_2,Error_2,Image name_3,Ground Truth_3,Connected Component_3,Error_3,Image name_4,Ground Truth_4,Connected Component_4,Error_4
001_,135,107,20.74074074074074,001_,135,110,18.51851851851852,001_,135,63,53.333333333333336,001_,135,58,57.03703703703704
002_,233,155,33.47639484978541,002_,233,166,28.75536480686695,002_,233,60,74.2489270386266,002_,233,55,76.39484978540773
003_,82,67,18.29268292682927,003_,82,68,17.073170731707318,003_,82,45,45.1219512195122,003_,82,43,47.5609756097561
004_,86,65,24.418604651162788,004_,86,65,24.418604651162788,004_,86,43,50.0,004_,86,41,52.32558139534884
005_,96,82,14.583333333333334,005_,96,84,12.5,005_,96,52,45.83333333333333,005_,96,51,46.875
006_,143,111,22.377622377622377,006_,143,116,18.88111888111888,006_,143,58,59.44055944055944,006_,143,53,62.93706293706294
007_,169,136,19.526627218934912,007_,169,144,14.792899408284024,007_,169,58,65.68047337278107,007_,169,56,66.86390532544378
008_,122,98,19.672131147540984,008_,122,99,18.852459016393443,008_,122,56,54.09836065573771,008_,122,52,57.377049180327866
009_,168,130,22.61904761904762,009_,168,136,19.047619047619047,009_,168,66,60.71428571428571,009_,168,58,65.47619047619048
010_,115,89,22.608695652173918,010_,115,92,20.0,010_,115,59,48.69565217391305,010_,115,59,48.69565217391305
011_,117,95,18.803418803418804,011_,117,100,14.529914529914532,011_,117,59,49.57264957264957,011_,117,50,57.26495726495726
012_,301,187,37.87375415282392,012_,301,201,33.222591362126245,012_,301,46,84.71760797342192,012_,301,39,87.04318936877077
013_,78,67,14.102564102564102,013_,78,66,15.384615384615383,013_,78,47,39.74358974358975,013_,78,45,42.30769230769231
014_,146,111,23.972602739726025,014_,146,116,20.54794520547945,014_,146,54,63.013698630136986,014_,146,52,64.38356164383562
015_,155,116,25.161290322580644,015_,155,120,22.58064516129032,015_,155,58,62.58064516129033,015_,155,55,64.51612903225806
016_,199,145,27.1356783919598,016_,199,148,25.628140703517587,016_,199,69,65.32663316582915,016_,199,69,65.32663316582915
017_,223,151,32.28699551569507,017_,223,156,30.04484304932735,017_,223,53,76.23318385650224,017_,223,49,78.02690582959642
018_,195,140,28.205128205128204,018_,195,156,20.0,018_,195,54,72.3076923076923,018_,195,55,71.7948717948718
019_,197,148,24.873096446700508,019_,197,150,23.85786802030457,019_,197,61,69.03553299492386,019_,197,62,68.52791878172589
020_,183,143,21.85792349726776,020_,183,152,16.939890710382514,020_,183,64,65.02732240437157,020_,183,63,65.57377049180327
021_,158,110,30.37974683544304,021_,158,122,22.78481012658228,021_,158,54,65.82278481012658,021_,158,56,64.55696202531645
022_,200,139,30.5,022_,200,139,30.5,022_,200,67,66.5,022_,200,63,68.5
023_,168,132,21.428571428571427,023_,168,138,17.857142857142858,023_,168,59,64.88095238095238,023_,168,57,66.07142857142857
024_,241,176,26.970954356846477,024_,241,183,24.066390041493776,024_,241,58,75.93360995850622,024_,241,58,75.93360995850622
025_,315,181,42.53968253968254,025_,315,196,37.77777777777778,025_,315,38,87.93650793650794,025_,315,38,87.93650793650794
026_,112,95,15.178571428571429,026_,112,96,14.285714285714285,026_,112,43,61.60714285714286,026_,112,39,65.17857142857143
027_,196,140,28.57142857142857,027_,196,153,21.93877551020408,027_,196,65,66.83673469387756,027_,196,58,70.40816326530613
028_,111,98,11.711711711711713,028_,111,102,8.108108108108109,028_,111,52,53.15315315315316,028_,111,50,54.95495495495496
029_,255,159,37.64705882352941,029_,255,175,31.37254901960784,029_,255,55,78.43137254901961,029_,255,49,80.7843137254902
030_,97,80,17.525773195876287,030_,97,83,14.432989690721648,030_,97,48,50.51546391752577,030_,97,45,53.608247422680414
031_,190,129,32.10526315789474,031_,190,137,27.89473684210526,031_,190,57,70.0,031_,190,57,70.0
032_,197,141,28.426395939086294,032_,197,149,24.36548223350254,032_,197,62,68.52791878172589,032_,197,63,68.02030456852792
