Type,Description,ICC,F,df1,df2,pval,CI95%
ICC1,Single raters absolute,0.9454971555291902,35.69533249904313,79,80,5.62198039813384e-41,[0.92 0.96]
ICC2,Single random raters,0.9454909355265774,35.546489168589424,79,79,1.768316089249312e-40,[0.92 0.96]
ICC3,Single fixed raters,0.9452751811323388,35.546489168589424,79,79,1.768316089249312e-40,[0.92 0.96]
ICC1k,Average raters absolute,0.9719851327893694,35.69533249904313,79,80,5.62198039813384e-41,[0.96 0.98]
ICC2k,Average random raters,0.9719818460841768,35.546489168589424,79,79,1.768316089249312e-40,[0.96 0.98]
ICC3k,Average fixed raters,0.9718678265170658,35.546489168589424,79,79,1.768316089249312e-40,[0.96 0.98]
ICC1,Single raters absolute,0.785789364507934,8.336604578039621,31,32,2.0342977190886933e-08,[0.61 0.89]
ICC2,Single random raters,0.8016477876853512,32.88202499335932,31,31,1.959749791196269e-16,[-0.05  0.95]
ICC3,Single fixed raters,0.94097165088592,32.88202499335932,31,31,1.959749791196269e-16,[0.88 0.97]
ICC1k,Average raters absolute,0.880047087439626,8.336604578039621,31,32,2.0342977190886933e-08,[0.76 0.94]
ICC2k,Average random raters,0.8899051114926965,32.88202499335932,31,31,1.959749791196269e-16,[-0.09  0.97]
ICC3k,Average fixed raters,0.9695882476762926,32.88202499335932,31,31,1.959749791196269e-16,[0.94 0.99]
