Type,Description,ICC,F,df1,df2,pval,CI95%
ICC1,Single raters absolute,0.8110912393117494,9.587121490360785,79,80,1.4146608733506828e-20,[0.72 0.87]
ICC2,Single random raters,0.8209599806531208,23.021914798183683,79,79,1.6047849852396737e-33,[0.14 0.94]
ICC3,Single fixed raters,0.9167426902974768,23.021914798183683,79,79,1.6047849852396737e-33,[0.87 0.95]
ICC1k,Average raters absolute,0.8956934048446727,9.587121490360785,79,80,1.4146608733506828e-20,[0.84 0.93]
ICC2k,Average random raters,0.901678223986744,23.021914798183683,79,79,1.6047849852396737e-33,[0.25 0.97]
ICC3k,Average fixed raters,0.9565631265354654,23.021914798183683,79,79,1.6047849852396737e-33,[0.93 0.97]
ICC1,Single raters absolute,0.7706915171371093,7.721875331563072,31,32,5.3576355575745076e-08,[0.58 0.88]
ICC2,Single random raters,0.7887127453909304,30.15308886239561,31,31,6.945972550390815e-16,[-0.05  0.94]
ICC3,Single fixed raters,0.9358009085765435,30.15308886239561,31,31,6.945972550390815e-16,[0.87 0.97]
ICC1k,Average raters absolute,0.8704977797410802,7.721875331563072,31,32,5.3576355575745076e-08,[0.74 0.94]
ICC2k,Average random raters,0.8818774813599867,30.15308886239561,31,31,6.945972550390815e-16,[-0.1   0.97]
ICC3k,Average fixed raters,0.9668359018021827,30.15308886239561,31,31,6.945972550390815e-16,[0.93 0.98]
