Type,Description,ICC,F,df1,df2,pval,CI95%
ICC1,Single raters absolute,0.9846893702798744,193.9422998817967,73,148,6.347734599202612e-119,[0.98 0.99]
ICC2,Single random raters,0.9847448535165276,674.9237137731171,73,146,9.997865565535767e-157,[0.88 0.99]
ICC3,Single fixed raters,0.9955681859876376,674.9237137731171,73,146,9.997865565535767e-157,[0.99 1.  ]
ICC1k,Average raters absolute,0.9948438272588832,193.9422998817967,73,148,6.347734599202612e-119,[0.99 1.  ]
ICC2k,Average random raters,0.9948627043739732,674.9237137731171,73,146,9.997865565535767e-157,[0.96 1.  ]
ICC3k,Average fixed raters,0.9985183510675456,674.9237137731171,73,146,9.997865565535767e-157,[1. 1.]
ICC1,Single raters absolute,0.9763314008088536,124.75021346942246,29,60,1.2539136932657344e-43,[0.96 0.99]
ICC2,Single random raters,0.9764100174453254,215.98451601257761,29,58,3.2842907061534666e-49,[0.92 0.99]
ICC3,Single fixed raters,0.9862375545984794,215.98451601257761,29,58,3.2842907061534666e-49,[0.97 0.99]
ICC1k,Average raters absolute,0.9919839816527039,124.75021346942246,29,60,1.2539136932657344e-43,[0.99 1.  ]
ICC2k,Average random raters,0.9920110327497327,215.98451601257761,29,58,3.2842907061534666e-49,[0.97 1.  ]
ICC3k,Average fixed raters,0.9953700384709905,215.98451601257761,29,58,3.2842907061534666e-49,[0.99 1.  ]
