filename1,synth u net,filename2,synth light u net,filename3,real u net,filename4,real light u net
001_,0.034393359887825985,001_,0.024526085394006608,001_,0.03716682439228878,001_,0.015302217288616377
002_,0.03155349975396773,002_,0.028967334396953096,002_,0.03650610818997292,002_,0.014762687003606313
003_,0.03027434248757706,003_,0.018862132046390874,003_,0.027865518685996155,003_,0.0162886433721556
004_,0.04149787729088302,004_,0.018677931456863854,004_,0.03631485090818814,004_,0.011475259216633825
005_,0.03382673326026528,005_,0.020458065721217288,005_,0.025486978575391794,005_,0.014089997708882985
006_,0.033165392972650164,006_,0.026695874961172702,006_,0.033632560611997535,006_,0.014090358910465135
007_,0.035364066895432755,007_,0.025338635954466247,007_,0.04101772895149644,007_,0.014032723855885143
008_,0.047646197150403406,008_,0.0227314767163613,008_,0.03631630400631548,008_,0.016992904118264845
009_,0.030286208071730537,009_,0.022581400277151723,009_,0.030299839330918954,009_,0.015934259140455265
010_,0.02196355151938787,010_,0.022024921832012306,010_,0.03243607902467249,010_,0.010101522635184906
011_,0.03448587414466525,011_,0.02198817147693237,011_,0.03804026769635888,011_,0.014349854245500317
012_,0.035205917991259196,012_,0.03883350138698262,012_,0.02889319034516664,012_,0.011759326783129142
013_,0.024278825436035857,013_,0.018687699987802796,013_,0.03709737384419915,013_,0.014352071796205504
014_,0.022860209578885203,014_,0.02238569298945554,014_,0.037659948892681976,014_,0.017203147436044213
015_,0.030986994269039343,015_,0.021636920047504324,015_,0.04201213943527927,015_,0.013865063898548014
016_,0.03975172722142226,016_,0.029589455225366858,016_,0.04074744500995145,016_,0.013866480333042873
017_,0.028963893340798547,017_,0.028983982790845502,017_,0.030944274959387036,017_,0.00971855875059096
018_,0.0304971673815787,018_,0.025114120115301796,018_,0.032719678396869,018_,0.010091263635278364
019_,0.033230088293688086,019_,0.029838486667527822,019_,0.03555743908127216,019_,0.012824791700597808
020_,0.034864962948274465,020_,0.026307177025582898,020_,0.03476985241663884,020_,0.01817589571227026
021_,0.03477760881977809,021_,0.02389787696255198,021_,0.037332375364170244,021_,0.013110572403401915
022_,0.035726486605893754,022_,0.02677093556056981,022_,0.03552093360066392,022_,0.01613694966930009
023_,0.026090500354899928,023_,0.02802709080700457,023_,0.024534666887282085,023_,0.01153464842010129
024_,0.03754755189610454,024_,0.031093996576428917,024_,0.03288640271155356,024_,0.0183594132407555
025_,0.03887387029858396,025_,0.03759749159983763,025_,0.0345215019128883,025_,0.010722630265699012
026_,0.021357909812936268,026_,0.019256184254769916,026_,0.03263344229027603,026_,0.016044450694254538
027_,0.03237622097024414,027_,0.027986258634710263,027_,0.031684264942410306,027_,0.017394861239095415
028_,0.03160732927902104,028_,0.02273608018823161,028_,0.0292741318747371,028_,0.012867286676628922
029_,0.033878621317814224,029_,0.03205786337425519,029_,0.03171767501304324,029_,0.011877984251918614
030_,0.020477558069592065,030_,0.019473227930430114,030_,0.029931315690148234,030_,0.008012244103757792
