Image name,IoU
001_,0.8375634517766497
002_,0.9144385026737968
003_,0.8293333333333334
004_,0.9017543859649123
005_,0.9133333333333333
006_,0.8918128654970761
007_,0.9071618037135278
008_,0.8149100257069408
009_,0.7613293051359517
010_,0.9482758620689655
011_,0.9077669902912622
012_,0.889344262295082
013_,0.8894230769230769
014_,0.8085106382978723
015_,0.8971428571428571
016_,0.8372093023255814
017_,0.9419642857142857
018_,0.8991596638655462
019_,0.8982558139534884
020_,0.7047872340425532
021_,0.8333333333333334
022_,0.8614609571788413
023_,0.9045801526717557
024_,0.7608695652173914
025_,0.9188311688311688
026_,0.7183098591549296
027_,0.7632241813602015
028_,0.8167202572347267
029_,0.8809523809523809
030_,0.9308755760368663
031_,0.7384615384615385
032_,0.899135446685879
033_,0.908256880733945
034_,0.9277566539923955
035_,0.7968337730870713
036_,0.9478260869565217
037_,0.9075
038_,0.8746518105849582
039_,0.896
040_,0.8541666666666666
041_,0.5626740947075209
042_,0.9476439790575916
043_,0.9125364431486881
044_,0.9056603773584906
045_,0.8794871794871795
046_,0.9393939393939394
047_,0.9202898550724637
048_,0.8934010152284264
049_,0.8380281690140845
050_,0.7985781990521327
051_,0.8604651162790697
052_,0.8594164456233422
053_,0.8140161725067385
054_,0.909375
055_,0.9407114624505929
056_,0.8924418604651163
057_,0.8526570048309179
058_,0.8909090909090909
059_,0.8787878787878788
060_,0.7375886524822695
061_,0.6970443349753694
062_,0.8483290488431876
063_,0.9659090909090909
064_,0.8961748633879781
065_,0.8146341463414634
066_,0.9475806451612904
067_,0.9104477611940298
068_,0.9063545150501672
069_,0.798469387755102
070_,0.8743016759776536
071_,0.7551020408163265
072_,0.8678304239401496
073_,0.9013157894736842
074_,0.8950437317784257
075_,0.8817567567567568
076_,0.8810975609756098
077_,0.7961630695443646
078_,0.8899082568807339
079_,0.8036175710594315
080_,0.7959697732997482
